option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.8041,0.00657,-0.65198,0.24945,0.45373,-1.0
PUT,-0.86612,0.0027,-0.04534,0.23267,0.39665,-0.7677902621722845
PUT,-0.8888,0.00253,-0.03391,0.1533,0.50729,0.4192488262910798
PUT,-0.87898,0.00026,-0.23584,0.24835,0.71811,-0.1509902817074671
PUT,-0.85045,0.00758,-0.32267,0.10196,0.61922,-0.6826783114992728
PUT,-0.82254,0.0009,-0.06415,0.19671,0.78893,0.2007300481168075
PUT,-0.85826,0.00368,-0.03557,0.25984,0.34077,-0.3724859211584875
PUT,-0.83582,0.00889,-0.07071,0.18981,0.32732,0.1126436781609192
PUT,-0.85332,0.00171,-0.11398,0.26979,0.57407,0.5410740819358947
PUT,-0.83259,0.00246,-0.34188,0.15909,1.49607,-0.555103244837758
PUT,-0.80445,0.00064,-0.11785,0.13772,1.10283,0.2070402298850576
PUT,-0.88469,0.00078,-0.10066,0.2632,0.48917,-1.0
PUT,-0.80797,0.00232,-0.2212,0.81295,0.35816,4.006331168831169
PUT,-0.81536,0.00501,-0.16146,0.25899,0.48348,0.9998212689901694
PUT,-0.89802,0.00109,-0.09874,0.0939,0.64437,0.4836538461538461
PUT,-0.85389,0.01066,-0.06699,0.16068,0.27594,-0.6569072164948456
PUT,-0.84055,0.00201,-0.0609,0.27597,0.5146,0.5531093638313082
PUT,-0.87367,0.00059,-0.13757,0.45651,0.48693,-0.3055914972273567
PUT,-0.85968,0.00194,-0.05111,0.11184,0.72137,-0.1816263190564867
PUT,-0.89897,0.00026,-0.32255,0.22441,0.68349,-0.3753802157805797
PUT,-0.86793,0.00989,-0.19585,0.10371,0.44652,1.4189262966333032
PUT,-0.88322,0.00122,-0.27847,0.11858,0.88923,-0.0780763790664783
PUT,-0.85055,0.00377,-0.04099,0.27872,0.35312,-0.235569422776911
PUT,-0.8739,0.00021,-0.25378,0.59445,0.56309,1.6369023761809334
PUT,-0.86133,0.00763,-0.16894,0.06727,0.77146,-0.7503714710252598
PUT,-0.89166,0.00255,-0.07412,0.06756,0.77077,-0.4098609355246525
PUT,-0.80093,0.00027,-0.10256,1.22401,0.4753,0.8080017395085889
PUT,-0.83838,0.00051,-0.10664,1.18101,0.3958,1.2870813397129186
PUT,-0.81589,0.00073,-0.89381,0.05205,2.65305,-0.1853033802225489
PUT,-0.89329,0.01221,-0.40172,0.03856,0.6117,-1.0
PUT,-0.85221,0.00105,-0.14213,0.76344,0.40667,1.9614043192054504
PUT,-0.86789,0.00307,-0.04053,0.20741,0.3913,-1.0
PUT,-0.85167,0.0003,-0.16555,0.99889,0.46719,1.1382834987957466
PUT,-0.89003,0.00318,-0.10584,0.24886,0.44309,-0.6985149901933317
PUT,-0.85773,0.00231,-0.08977,0.21926,0.54612,0.3961643835616439
PUT,-0.88565,0.00125,-0.19408,0.40201,0.44276,-0.1667680486633585
PUT,-0.89311,0.00069,-0.11632,0.35077,0.42486,-0.5370848708487087
PUT,-0.87155,0.0006,-0.20321,0.7128,0.46601,1.9450426844729949
PUT,-0.85201,0.00269,-0.03952,0.29951,0.37433,-0.1425908667287977
PUT,-0.84044,0.00059,-0.18277,1.05243,0.46935,1.257864665794727
PUT,-0.84883,0.00034,-0.16358,1.00847,0.46611,1.1444417056938625
PUT,-0.81992,0.00289,-0.21283,0.20866,1.09175,-1.0
PUT,-0.86689,0.00175,-0.13802,0.4608,0.39435,-0.5545279383429675
PUT,-0.80867,0.00579,-0.0538,0.21972,0.50203,0.5753320683111955
PUT,-0.82046,0.00072,-0.14894,1.41623,0.40549,1.610812746151092
PUT,-0.80373,0.00013,-0.28213,0.11097,1.91641,-0.1531457800511508
PUT,-0.84491,0.02144,-0.15332,0.08161,0.32523,-0.6785854616895872
PUT,-0.88485,0.00098,-0.6306,0.0169,4.71048,-0.0071266968325791
PUT,-0.87194,0.00044,-0.2446,0.10377,1.0237,-0.396011151619129
PUT,-0.83475,0.00022,-0.10077,0.7213,0.49163,0.8911997563946407
PUT,-0.88779,0.00125,-0.02528,0.11645,0.62234,0.6399236433051539
PUT,-0.85608,0.00175,-0.21268,0.05374,1.3714,0.1334054054054053
PUT,-0.87902,0.00688,-0.25351,0.08387,0.69462,-0.2743209876543213
PUT,-0.814,9e-05,-0.02541,0.05966,2.45842,-0.0251804895228032
PUT,-0.84564,0.00792,-1.04074,0.13198,0.53791,1.3056793673616105
PUT,-0.89638,0.00016,-0.39813,0.35132,0.65132,2.141929945054945
PUT,-0.80722,0.02442,-0.18782,0.07397,0.41178,0.6575163398692817
PUT,-0.84257,0.00124,-0.02863,0.30456,0.40696,-0.6673526660430309
PUT,-0.85129,0.00487,-0.05495,0.18285,0.47404,0.1099684258006317
PUT,-0.87767,0.00019,-0.16489,0.39593,0.54965,-0.7209728299582784
PUT,-0.83224,0.00155,-0.07132,0.35041,0.52718,0.7201282776834563
PUT,-0.89061,0.0053,-0.19821,0.15127,0.43769,-0.3934967483741871
PUT,-0.85256,0.01843,-0.11106,0.06284,0.45758,-1.0
PUT,-0.88661,0.00707,-0.19,0.1123,0.46095,0.1061197041022194
PUT,-0.80701,0.0,-0.1506,0.038,5.99131,0.0889728453364817
PUT,-0.86429,0.00583,-0.05049,0.13316,0.47338,-0.3979568671963674
PUT,-0.87719,0.00025,-0.28044,0.30335,0.717,0.1125484039769753
PUT,-0.87787,0.00296,-0.10942,0.17709,0.49371,0.6542421015264467
PUT,-0.8334,0.00014,-0.00541,0.07451,1.78781,0.0843293246993525
PUT,-0.80517,0.00112,-0.21907,0.66794,0.62901,-0.1141132874536794
PUT,-0.81616,0.00014,-0.08267,0.29474,0.68795,0.4665281745001297
PUT,-0.8973,0.0008,-0.19167,0.38379,0.44822,-0.3177802319160687
PUT,-0.83277,0.00053,-0.14105,1.2782,0.42404,1.4030117406840228
PUT,-0.85112,0.00204,-0.03465,0.48546,0.30754,-1.0
